Id,NCJW RM TPH Total Mll Feed,NCJW RM TPH BASALT WF  D19A,NCJW RM TPH IRON WF  D19,NCJW RM TPH LGLS WF D7,NCJW RM TPH CLAY WF  D15,NCJW RM TPH LGLS WF  D3,NCJW RM TPH HGLS WF  D11,NCJW RM CONTR MILL FEED SPA,NCJW RM CURRENT RM CLASSIFIER D29_1,NCJW RM SPD RMILL CLASSIFIER,NCJW RM VIB BODY D29,NCJW RM VIB GB  D29,NCJW RM DRAFT INLET,NCJW RM TEMP INLET,NCJW RM ACT INLET POSITION D40,NCJW RM TEMP EXIT,NCJW RM DRAFT EXIT,NCJW RM SPD RM ID FAN  D62,NCJW RM CURRENT RM ID FAN MOT  D62,NCJW RM ACT POSITION D61,NCJW RM VIB ID FAN  D62,NCJW RM TEMP ID FAN INLET  D62,NCJW RM PRESS HSS OPERATING,NCJW RM CURRENT RMILL MAIN MOT  D29,NCJW BH PRESS D50 BHOUSEDIFF D50,NCJW BH SPD BH ID FAN D53,NCJW BH CURRENT BH ID FAN D53,NCJW BH TEMP BHOUSEINLET D50,NCJW BH POSI BH ID FAN DMP POSI FB D52,NCJW XRF RM ECS RES212,SalePrice
1,268.7,2.3,13.2,-0.4,9,41.8,202.8,486.8,187.7,59.7,7.3,0.5,60.9,223.9,96.2,86.1,740.3,779.5,1294.6,96.9,0.8,79.4,60.5,164.4,86.4,584.1,36.2,244.1,96.2,2.3,484.1
2,279.8,2.4,13.7,-0.4,9.5,10.2,244.4,490,190.8,60,7.5,0.5,50,216.8,96.2,85.4,735.8,778.6,1299.4,96.9,0.8,78.9,60.7,163.6,88.9,575,34.4,246.2,96.1,2.3,483
3,268.7,2.3,13.3,-0.4,9.1,9.8,234.5,490,190.3,60,7.2,0.5,50,220.5,96.2,83.3,745.2,778.8,1292.8,96.9,0.8,77.1,60.6,166.8,85.8,567.8,33.2,243.5,96.2,2.3,491.1
4,271.4,2.3,14.6,-0.4,9.2,9.8,235.8,490,190.1,60,7,0.4,50.2,216.8,96.2,83.7,743.2,779.6,1295.9,96.9,0.8,77.3,60.6,166.1,89.8,571.4,33.8,241,96.2,2.4,489.5
5,263.6,2.3,7.1,-0.4,9.2,40.7,204.6,490,197.6,61.9,6.6,0.4,49.5,216.6,96.2,84.7,749.2,778.9,1283.9,96.9,0.8,77.8,60.4,165.7,86.8,569.7,33.3,242.2,96.2,2.5,489.2
6,260,2.3,11.1,-0.4,8.9,63.3,174.7,490,198.8,62,6.3,0.4,56.2,204.4,96.2,82.9,760.4,778.8,1271,96.9,0.8,76.4,60.3,168.7,88,540.6,29.4,230.4,96.3,2.5,491.8
7,258.7,2.2,9.7,-0.4,8.9,40.1,198.1,490.3,198.7,62,6.1,0.4,53.9,212.2,96.2,82.1,750.2,778.7,1272.4,96.9,0.8,75.7,60,169.6,83,522.8,26.7,224.4,96.3,2.4,499
8,277.2,1,13.6,-0.4,9,36.8,217.1,495,197.9,61.2,6.8,0.4,51.5,213.2,96.2,81.9,728.3,780.1,1298.5,96.9,0.8,76,60,167,86.2,522.7,26.8,222.4,96.3,1.8,492.6
9,274.5,1,13.4,-0.3,6.9,36.8,216.9,495,197.4,61,6.7,0.4,52.2,212.6,96.2,78.8,735.5,778.4,1292,96.9,0.8,74,60.2,169.8,84.5,519.2,26.5,218.7,96.4,1.8,495.8
10,278.2,1,4.8,-0.4,6.8,38.6,227.4,495,196.1,60.1,6.5,0.4,55.1,217.9,96.2,80.7,765.3,794,1349,96.9,0.8,76.5,60.5,171.1,84.6,518.6,26.4,220.3,96.4,2,498
11,284.6,1,0,0.1,5.7,34.2,243.6,495,196.4,60,6.8,0.4,56.3,219.8,96.2,83.2,777.2,798.8,1370.3,96.9,0.9,79.6,60.7,169.6,86.6,522.1,26.8,219.3,96.5,2.1,480.8
12,275.1,1,0,6.7,5.5,26.2,235.7,495,195.2,60,6.1,0.4,54.9,221.2,96.1,83.2,786.2,799.3,1352.8,96.9,0.9,79.4,60.9,171.5,87.3,521.2,26.6,220.9,96.7,2.2,502.4
13,275.5,1,0,6.7,6.1,21.4,240.3,495,194.3,60,6.1,0.4,56.4,219.6,96.1,83.2,792.4,799.5,1348,96.9,0.9,79.7,61,172,84.8,516.8,26,220.3,96.6,2.2,498.6
14,276.7,1,0,6.7,6.4,18.7,243.9,495,197.3,60.7,6.3,0.4,59.1,211.9,96.1,83.9,799,800.9,1365.5,96.9,0.9,78.6,60.7,170.5,86.3,512.7,25.5,213.2,96.6,2.2,493.8
15,276.1,1.1,0,6,6.7,19.9,242.5,495,198.6,61,6.1,0.4,55.8,208.4,96,82.6,795.5,799.5,1356.7,96.9,0.9,77.4,60.6,171.7,89.4,513.5,25.9,218.8,96.8,2.1,494.8
16,273,1.5,0,2.5,7.4,35,226.6,495,197.3,61,6.1,0.4,57.3,209.5,96,82.8,801.4,799.4,1351.4,97,0.9,77.9,60.6,172,106.1,512.6,25.9,215.5,96.8,2,487.8
17,278,1.5,0,-0.3,7.3,13.5,256,495,199.9,60.9,5.4,0.4,59.6,220.4,96,82.8,819.4,801.5,1326.8,97,0.9,77.9,60.8,177.2,151,510.7,25.7,207.3,96.8,2,499
18,280.5,1.4,0,0.1,6.8,13.6,258.5,495,196.5,60.8,6.7,0.4,61,209.4,96,83.4,772.4,799.3,1367.5,97,0.9,79.6,60.5,168.5,128.5,507.3,25.3,205.3,96.8,2.3,499.5
19,273.3,1,0,6.6,6,13,246.7,495,196.1,61,6.5,0.4,62.1,216.8,96,84.8,774.7,800.1,1361.5,96.9,0.9,81.3,60.6,169.6,92.1,516.8,26.2,201.6,96.7,2.5,511.3
20,268.9,0.9,0,6.7,5.9,12.8,242.5,495,192.8,61,7.7,0.5,58.8,208.4,96,84.6,750,801,1394.2,96.9,0.9,81.7,60.6,164.9,93.7,519.6,26.4,206.5,96.6,2.2,499.2
21,268.7,0.9,0,9.1,5.9,12.6,240.1,495,192.9,61,8,0.5,54.6,202.2,96.1,83.6,751.1,799.8,1402.8,96.9,0.9,78.6,60.9,167,90.8,516.7,26.5,210.1,96.4,2.4,504.7
